id,country,region,city,state,latitude,longitude,population,population_source,population_date,gdp,gdp_source,gdp_date,age,capture_date,notes,map_url
569,us,Northern America,Joliet,IL,41.5177,-88.14885,148099,http://worldpopulationreview.com/us-cities/joliet-il-population,2018,11329.869698,http://worldpopulationreview.com/us-cities/joliet-il-population,,,,,"https://www.google.com/maps/@41.5177,-88.14885,20000m/data=!3m1!1e3"
570,us,Northern America,Kankakee,IL,41.12003,-87.86115,26052,http://worldpopulationreview.com/us-cities/kankakee-il-population,2018,1248.880776,http://worldpopulationreview.com/us-cities/kankakee-il-population,,,,,"https://www.google.com/maps/@41.12003,-87.86115,20000m/data=!3m1!1e3"
571,us,Northern America,Kaskaskia,IL,37.92144,-89.91316,13,http://worldpopulationreview.com/us-cities/kaskaskia-il-population,2018,0.747344,http://worldpopulationreview.com/us-cities/kaskaskia-il-population,,,,,"https://www.google.com/maps/@37.92144,-89.91316,20000m/data=!3m1!1e3"
572,us,Northern America,Kewanee,IL,41.24559,-89.92483,12400,http://worldpopulationreview.com/us-cities/kewanee-il-population,2018,617.396,http://worldpopulationreview.com/us-cities/kewanee-il-population,,,,,"https://www.google.com/maps/@41.24559,-89.92483,20000m/data=!3m1!1e3"
573,us,Northern America,La Salle,IL,,,,http://worldpopulationreview.com/us-cities/la-salle-il-population,,,http://worldpopulationreview.com/us-cities/la-salle-il-population,,,,,"https://www.google.com/maps/@,,20000m/data=!3m1!1e3"
574,us,Northern America,Lake Forest,IL,42.25863,-87.84063,19544,http://worldpopulationreview.com/us-cities/lake-forest-il-population,2018,5255.811568,http://worldpopulationreview.com/us-cities/lake-forest-il-population,,,,,"https://www.google.com/maps/@42.25863,-87.84063,20000m/data=!3m1!1e3"
575,us,Northern America,Libertyville,IL,42.28308,-87.95313,20359,http://worldpopulationreview.com/us-cities/libertyville-il-population,2018,3402.19249,http://worldpopulationreview.com/us-cities/libertyville-il-population,,,,,"https://www.google.com/maps/@42.28308,-87.95313,20000m/data=!3m1!1e3"
576,us,Northern America,Lincoln,IL,42.06975,-89.56862,13685,http://worldpopulationreview.com/us-cities/lincoln-il-population,2018,836.906175,http://worldpopulationreview.com/us-cities/lincoln-il-population,,,,,"https://www.google.com/maps/@42.06975,-89.56862,20000m/data=!3m1!1e3"
577,us,Northern America,Lisle,IL,41.80114,-88.07479,23394,http://worldpopulationreview.com/us-cities/lisle-il-population,2018,2621.508246,http://worldpopulationreview.com/us-cities/lisle-il-population,,,,,"https://www.google.com/maps/@41.80114,-88.07479,20000m/data=!3m1!1e3"
578,us,Northern America,Lombard,IL,41.88003,-88.00784,44523,http://worldpopulationreview.com/us-cities/lombard-il-population,2018,3979.46574,http://worldpopulationreview.com/us-cities/lombard-il-population,,,,,"https://www.google.com/maps/@41.88003,-88.00784,20000m/data=!3m1!1e3"
